01	128	6	128	18	153	11	128	6
02	127	6	127	19	152	12	127	6
03	128	6	128	18	153	11	128	6
04	126	6	126	19	151	12	126	6
05	127	6	127	18	152	11	127	6
06	128	6	128	13	153	12	128	6
07	132	5	132	11	132	10	132	5
08	132	6	132	19	157	12	132	6
09	131	6	131	18	156	11	131	6
10	132	6	132	19	157	12	132	6
11	131	6	131	18	156	11	131	6
12	133	6	133	22	158	12	133	6
13	132	5	132	11	157	10	132	5
14	132	5	132	12	132	11	132	5
15	132	6	132	18	157	11	134	6
16	137	6	137	19	162	12	137	6
17	137	6	137	18	162	11	137	6
18	137	6	137	19	162	12	137	6
19	136	6	136	18	162	11	136	6
20	135	6	135	13	160	12	135	6
21	134	5	134	11	135	10	135	6
22	136	6	136	19	161	12	136	6
23	136	6	136	19	161	12	136	6
24	135	6	135	19	160	12	136	6
25	134	6	134	18	159	11	136	6
26	135	6	135	19	160	12	135	6
27	135	5	135	11	160	10	135	5
28	133	5	135	12	160	11	135	5
29	135	6	135	18	160	11	135	6
30	136	6	136	19	161	12	136	6
31	136	6	136	19	161	12	136	6
